"","T1_L1","T1_L2","T1_L3","T2_N","T2_R1","T2_R3","T3_L4","T3_R2","T3_R4","SYMBOL"
"ENSMUSG00000017715",1408.54549459996,1326.00750783977,1400.85753801697,1349.4655292902,1387.16343058382,1360.52076498805,1696.94684808845,1198.49289986673,1194.75596529254,"Pgs1"
"ENSMUSG00000017716",1310.56888203616,1400.62352353517,1412.84531645966,1387.25945679915,1438.93935956362,1297.56333351017,891.119208708229,1238.68625931348,1415.96651065376,"Birc5"
"ENSMUSG00000017718",18.9632153349284,11.6868458318082,26.5443665516664,30.0128247865201,43.146607483167,17.0732017567128,33.7612461923357,21.9236506073183,20.8069324844713,"Afmid"
"ENSMUSG00000017720",4.21404785220632,2.69696442272497,3.42507955505373,2.22317220640889,2.15733037415835,2.13415021958909,1.77690769433346,1.82697088394319,5.47550854854509,"Trp53tg5"
"ENSMUSG00000017721",1803.6124807443,1804.269198803,1624.34397898423,1740.74383761816,1679.48169628228,1879.1192683482,1962.5945483913,2215.20219678112,1894.5259577966,"Pigt"
"ENSMUSG00000017723",0,0,0,0,0,0,0,0,0,"Wfdc2"
"ENSMUSG00000017724",1.05351196305158,0.898988140908322,0,4.44634441281779,6.47199112247505,4.26830043917819,0,9.13485441971594,0,"Etv4"
"ENSMUSG00000017733",0,0,0,0,0,0,0,0,0,"Eppin"
"ENSMUSG00000017734",7.37458374136105,12.5858339727165,6.85015911010745,4.44634441281779,15.1013126191085,3.20122532938364,11.5499000131675,7.30788353577275,2.19020341941804,"Dbndd2"
"ENSMUSG00000017737",10136.8921084823,8702.20520399255,15313.5306906452,23266.6087261723,25922.4817758867,5508.24171675945,25855.7838602461,7924.48620910358,10896.2620116047,"Mmp9"
"ENSMUSG00000017740",43.1939904851147,53.9392884544993,60.7951621022037,73.3646828114935,72.2705675343047,34.1464035134255,68.4109462318381,23.7506214912614,28.4726444524345,"Slc12a5"
"ENSMUSG00000017747",65.3177417091979,84.5048852453822,112.17135542801,120.05129914608,129.439822449501,61.8903563680837,212.340469472848,83.1271752194151,176.311375263152,"Ghdc"
"ENSMUSG00000017754",23.1772631871347,17.0807746772581,23.9755568853761,38.9055136121556,40.9892771090087,6.40245065876728,1.77690769433346,64.8574663799832,59.135492324287,"Pltp"
"ENSMUSG00000017756",299.197397506648,321.837754445179,356.208273725588,355.707553025423,337.622203555782,265.701702338842,271.866877233019,294.142312314853,309.913783847652,"Slc12a7"
"ENSMUSG00000017760",1380.10067159757,1534.57275653051,1297.2488814766,1635.14315781374,1550.04187383278,1306.09993438853,1552.12887100028,1639.70636833901,3779.19600020582,"Ctsa"
"ENSMUSG00000017764",100.0836364899,124.959351586257,114.7401650943,98.9311631851958,89.5292105275716,125.914862955757,97.7299231883402,171.73526309066,112.795476100029,"Zswim1"
"ENSMUSG00000017765",38.9799426329084,27.868632368158,36.8196052168276,51.1329607474045,63.6412460376714,8.53660087835638,5.33072308300037,50.2416993084377,33.9481530009796,"Slc12a4"
"ENSMUSG00000017767",0,0,0,0,0,1.06707510979455,0,0,0,"Spata25"
"ENSMUSG00000017774",1383.26120748672,1544.4616260805,1831.56129206498,1315.00636009086,1174.66638872922,1057.4714338064,1528.14061712677,1356.52588132782,1840.86597402086,"Myo1c"
"ENSMUSG00000017776",938.679159078957,1220.8258953535,1131.13252305649,1068.23424517947,1100.23849082076,924.087045082078,1234.95084756175,1101.66344301774,1408.3007986858,"Crk"
"ENSMUSG00000017778",1685.61914088253,1736.84508823488,1628.62532842805,1651.81694936181,1704.2909955851,1832.16796351724,1790.23450204096,1689.03458220548,2388.41682887537,"Cox7c"
"ENSMUSG00000017781",3173.17803271136,3186.01397137909,3288.93264274034,3842.75315877777,3655.59631901133,2832.01734139473,4691.03631304033,3399.99281501827,4236.94851486419,"Pitpna"
"ENSMUSG00000017801",515.167349932222,570.857469476784,577.125905026553,610.260770659241,639.648455937951,469.513048309601,524.18776982837,452.175293775939,579.308804436071,"Mlx"
"ENSMUSG00000017802",810.150699586664,792.90754028114,826.300442656712,824.796888577699,858.617488915024,736.281825758238,732.085970065385,769.154742140082,793.948739539038,"Retreg3"
"ENSMUSG00000017817",0,2.69696442272497,0,0,0,1.06707510979455,0,0,0,"Jph2"
"ENSMUSG00000017830",358.194067437537,322.736742586088,360.489623169405,389.055136121556,410.971436277166,162.195416688771,317.178023438522,129.714932759966,222.305647070931,"Dhx58"
"ENSMUSG00000017831",701.638967392352,734.473311122099,731.254485003971,689.183383986757,679.559067859881,642.379216096317,939.095716455232,827.617810426264,786.283027571075,"Rab5a"
"ENSMUSG00000017832",11.5886315935674,5.39392884544993,10.2752386651612,20.00854985768,10.7866518707918,20.2744270860964,14.2152615546677,12.7887961876023,17.5216273553443,"Hspb9"
"ENSMUSG00000017837",868.093857554501,885.503318794697,893.089493980259,954.85246265262,874.797466721211,873.934514921734,1108.79040126408,1001.18004440087,1081.96048919251,"Nkiras2"
